co,co2,formaldehyde,humidity,pm1,pm10,pm25,temperature,timestamp
1,381,0,65,12,17,15,26,12/19/2022 0:02
1,417,0,65,13,18,16,26,12/19/2022 0:04
1,276,0,65,11,15,14,26,12/19/2022 0:06
1,463,0,66,13,18,16,26,12/19/2022 0:08
1,453,0,65,12,17,15,26,12/19/2022 0:10
1,436,0,65,13,18,16,26,12/19/2022 0:12
1,443,0,65,13,18,16,26,12/19/2022 0:14
1,284,0,66,13,18,16,26,12/19/2022 0:16
1,341,0,65,13,19,17,26,12/19/2022 0:18
1,322,0,66,13,18,16,26,12/19/2022 0:20
1,369,0,66,12,17,15,26,12/19/2022 0:22
1,383,0,66,12,17,15,26,12/19/2022 0:24
1,385,0,66,13,18,16,26,12/19/2022 0:26
1,385,0,66,13,18,16,26,12/19/2022 0:28
1,358,0,66,13,18,16,26,12/19/2022 0:30
1,370,0,66,13,18,16,26,12/19/2022 0:32
1,367,0,66,13,18,16,26,12/19/2022 0:34
1,355,0,66,12,17,15,26,12/19/2022 0:36
1,377,0,66,13,18,16,26,12/19/2022 0:38
1,375,0,66,12,17,15,26,12/19/2022 0:40
1,375,0,66,11,15,14,26,12/19/2022 0:42
1,367,0,66,12,17,15,26,12/19/2022 0:44
1,373,0,66,11,15,14,26,12/19/2022 0:46
1,373,0,66,11,15,14,26,12/19/2022 0:48
1,387,0,66,13,19,17,26,12/19/2022 0:50
1,364,0,66,13,18,16,26,12/19/2022 0:52
1,376,0,66,13,18,16,26,12/19/2022 0:54
1,421,0,66,11,15,14,26,12/19/2022 0:56
1,397,0,66,12,17,15,26,12/19/2022 0:58
1,280,0,66,10,14,13,26,12/19/2022 1:02
1,765,0,66,13,18,16,26,12/19/2022 1:04
1,419,0,66,12,17,15,26,12/19/2022 1:06
1,262,0,66,12,17,15,26,12/19/2022 1:08
1,390,0,66,13,18,16,26,12/19/2022 1:10
1,427,0,66,10,14,13,26,12/19/2022 1:12
1,441,0,66,11,15,14,26,12/19/2022 1:14
1,494,0,66,13,18,16,26,12/19/2022 1:16
1,459,0,66,12,17,15,26,12/19/2022 1:18
1,373,0,66,10,14,13,26,12/19/2022 1:20
1,373,0,66,11,15,14,26,12/19/2022 1:22
1,377,0,66,12,17,15,26,12/19/2022 1:24
1,391,0,66,13,18,16,26,12/19/2022 1:26
1,239,0,66,12,17,15,26,12/19/2022 1:28
1,378,0,66,11,15,14,26,12/19/2022 1:30
1,315,0,66,11,15,14,26,12/19/2022 1:32
1,422,0,66,12,17,15,26,12/19/2022 1:34
