co,co2,formaldehyde,humidity,pm1,pm10,pm25,temperature,timestamp
1,409,0,66,10,14,13,26,12/19/2022 1:36
1,356,0,66,11,15,14,26,12/19/2022 1:38
1,346,0,66,12,17,15,26,12/19/2022 1:40
1,363,0,66,11,15,14,26,12/19/2022 1:42
1,262,0,66,13,19,17,26,12/19/2022 1:44
1,342,0,66,10,14,13,26,12/19/2022 1:46
1,480,0,66,12,17,15,26,12/19/2022 1:48
1,297,0,66,11,15,14,26,12/19/2022 1:50
1,400,0,66,12,17,15,26,12/19/2022 1:52
1,368,0,66,11,15,14,26,12/19/2022 1:54
1,377,0,66,13,19,17,26,12/19/2022 1:56
1,385,0,66,10,14,13,26,12/19/2022 1:58
1,455,0,66,11,15,14,26,12/19/2022 2:02
1,367,0,66,13,18,16,26,12/19/2022 2:04
1,374,0,66,12,17,15,26,12/19/2022 2:06
1,394,0,66,12,17,15,26,12/19/2022 2:08
1,337,0,66,11,15,14,26,12/19/2022 2:10
1,396,0,66,10,14,13,26,12/19/2022 2:12
1,359,0,66,12,17,15,26,12/19/2022 2:14
1,344,0,66,11,15,14,26,12/19/2022 2:16
1,438,0,66,12,17,15,26,12/19/2022 2:18
1,424,0,66,10,14,13,26,12/19/2022 2:20
1,382,0,66,10,14,13,26,12/19/2022 2:22
1,370,0,66,10,14,13,26,12/19/2022 2:24
1,372,0,66,11,15,14,26,12/19/2022 2:26
1,376,0,66,10,14,13,26,12/19/2022 2:28
1,765,0,66,10,14,13,26,12/19/2022 2:30
1,510,0,66,12,17,15,26,12/19/2022 2:32
1,393,0,66,11,15,14,26,12/19/2022 2:34
1,353,0,66,11,15,14,26,12/19/2022 2:36
1,355,0,66,11,15,14,26,12/19/2022 2:38
1,288,0,66,10,14,13,26,12/19/2022 2:40
1,366,0,66,10,14,13,26,12/19/2022 2:42
1,372,0,66,12,17,15,26,12/19/2022 2:44
1,355,0,66,11,15,14,26,12/19/2022 2:46
1,358,0,66,11,15,14,26,12/19/2022 2:48
1,451,0,66,11,15,14,26,12/19/2022 2:50
1,265,0,66,9,13,12,26,12/19/2022 2:52
1,346,0,66,12,17,15,26,12/19/2022 2:54
1,370,0,66,11,15,14,26,12/19/2022 2:56
1,341,0,66,10,14,13,26,12/19/2022 2:58
1,301,0,66,11,15,14,26,12/19/2022 3:02
1,359,0,66,11,15,14,26,12/19/2022 3:04
1,368,0,66,11,15,14,26,12/19/2022 3:06
1,348,0,66,11,15,14,26,12/19/2022 3:08
1,354,0,66,10,14,13,26,12/19/2022 3:10
1,344,0,66,13,18,16,26,12/19/2022 3:12
1,333,0,66,11,15,14,26,12/19/2022 3:14
1,373,0,66,12,17,15,26,12/19/2022 3:16
1,318,0,66,10,14,13,26,12/19/2022 3:18
1,310,0,66,11,15,14,26,12/19/2022 3:20
1,324,0,66,12,17,15,26,12/19/2022 3:22
1,354,0,66,11,15,14,26,12/19/2022 3:24
1,403,0,66,11,15,14,26,12/19/2022 3:26
1,269,0,66,11,15,14,26,12/19/2022 3:28
1,355,0,66,10,14,13,26,12/19/2022 3:30
1,390,0,66,11,15,14,26,12/19/2022 3:32
1,354,0,66,11,15,14,26,12/19/2022 3:34
1,365,0,66,12,17,15,26,12/19/2022 3:36
1,454,0,66,11,15,14,26,12/19/2022 3:38
1,266,0,66,11,15,14,26,12/19/2022 3:40
1,366,0,66,10,14,13,26,12/19/2022 3:42
1,371,0,66,9,13,12,26,12/19/2022 3:44
1,359,0,66,11,15,14,26,12/19/2022 3:46
1,389,0,66,11,15,14,26,12/19/2022 3:48
1,283,0,66,11,15,14,26,12/19/2022 3:50
1,297,0,66,10,14,13,26,12/19/2022 3:52
1,368,0,66,11,15,14,26,12/19/2022 3:54
1,376,0,66,11,15,14,26,12/19/2022 3:56
1,363,0,66,12,17,15,26,12/19/2022 3:58
1,362,0,66,10,14,13,26,12/19/2022 4:02
1,345,0,66,9,13,12,26,12/19/2022 4:04
1,496,0,66,10,14,13,25,12/19/2022 4:06
1,452,0,66,9,13,12,26,12/19/2022 4:08
1,503,0,66,9,13,12,26,12/19/2022 4:10
1,433,0,66,11,15,14,25,12/19/2022 4:12
1,261,0,66,13,18,16,26,12/19/2022 4:14
1,388,0,66,10,14,13,25,12/19/2022 4:16
1,377,0,66,11,15,14,26,12/19/2022 4:18
1,354,0,66,11,15,14,26,12/19/2022 4:20
1,320,0,66,10,14,13,26,12/19/2022 4:22
1,383,0,66,9,13,12,26,12/19/2022 4:24
1,444,0,66,10,14,13,26,12/19/2022 4:26
1,394,0,66,10,14,13,26,12/19/2022 4:28
1,381,0,66,11,15,14,26,12/19/2022 4:30
1,366,0,66,11,15,14,26,12/19/2022 4:32
1,348,0,66,11,15,14,26,12/19/2022 4:34
1,367,0,66,9,13,12,25,12/19/2022 4:36
1,358,0,66,10,14,13,25,12/19/2022 4:38
1,368,0,66,11,15,14,26,12/19/2022 4:40
1,487,0,66,11,15,14,25,12/19/2022 4:42
1,318,0,66,11,15,14,26,12/19/2022 4:44
1,347,0,66,11,15,14,26,12/19/2022 4:46
1,356,0,66,13,18,16,26,12/19/2022 4:48
1,365,0,66,12,17,15,26,12/19/2022 4:50
1,317,0,66,11,15,14,26,12/19/2022 4:52
1,400,0,66,11,15,14,25,12/19/2022 4:54
1,516,0,66,12,17,15,25,12/19/2022 4:56
1,366,0,66,10,14,13,26,12/19/2022 4:58
1,370,0,66,11,15,14,26,12/19/2022 5:02
1,377,0,66,9,13,12,26,12/19/2022 5:04
1,373,0,66,11,15,14,26,12/19/2022 5:06
1,367,0,66,10,14,13,26,12/19/2022 5:08
1,305,0,66,12,17,15,25,12/19/2022 5:10
1,321,0,66,10,14,13,26,12/19/2022 5:12
1,765,0,66,10,14,13,26,12/19/2022 5:14
1,491,0,66,10,14,13,26,12/19/2022 5:16
1,371,0,66,11,15,14,26,12/19/2022 5:18
1,344,0,66,10,15,13,25,12/19/2022 5:20
1,346,0,66,11,15,14,26,12/19/2022 5:22
1,368,0,66,10,14,13,26,12/19/2022 5:24
1,348,0,66,9,13,12,25,12/19/2022 5:26
1,359,0,66,10,14,13,26,12/19/2022 5:28
1,259,0,66,12,17,15,26,12/19/2022 5:30
1,388,0,66,12,17,15,26,12/19/2022 5:32
1,363,0,66,10,14,13,25,12/19/2022 5:34
1,389,0,66,11,15,14,25,12/19/2022 5:36
1,358,0,66,9,13,12,26,12/19/2022 5:38
1,347,0,66,11,15,14,26,12/19/2022 5:40
1,342,0,66,11,15,14,26,12/19/2022 5:42
1,348,0,66,10,14,13,26,12/19/2022 5:44
1,361,0,66,10,14,13,26,12/19/2022 5:46
1,368,0,66,9,13,12,26,12/19/2022 5:48
1,364,0,66,10,14,13,26,12/19/2022 5:50
1,382,0,66,11,15,14,25,12/19/2022 5:52
1,228,0,66,12,17,15,26,12/19/2022 5:54
1,462,0,66,11,15,14,26,12/19/2022 5:56
1,385,0,66,12,17,15,26,12/19/2022 5:58
1,415,0,66,11,15,14,26,12/19/2022 6:02
1,399,0,66,12,17,15,26,12/19/2022 6:04
1,396,0,66,10,14,13,26,12/19/2022 6:06
1,389,0,66,11,15,14,26,12/19/2022 6:08
1,383,0,66,13,18,16,25,12/19/2022 6:10
1,449,0,66,11,15,14,26,12/19/2022 6:12
1,394,0,66,11,15,14,25,12/19/2022 6:14
1,398,0,66,10,14,13,26,12/19/2022 6:16
1,324,0,66,12,17,15,26,12/19/2022 6:18
1,394,0,66,9,13,12,26,12/19/2022 6:20
1,403,0,66,11,15,14,26,12/19/2022 6:22
1,373,0,66,11,15,14,26,12/19/2022 6:24
1,415,0,66,10,14,13,26,12/19/2022 6:26
1,389,0,66,11,15,14,26,12/19/2022 6:28
1,426,0,66,11,15,14,26,12/19/2022 6:30
1,391,0,66,11,15,14,26,12/19/2022 6:32
1,398,0,66,12,17,15,26,12/19/2022 6:34
1,403,0,66,12,17,15,25,12/19/2022 6:36
1,408,0,66,12,17,15,26,12/19/2022 6:38
1,414,0,66,11,15,14,25,12/19/2022 6:40
1,417,0,66,11,15,14,26,12/19/2022 6:42
1,396,0,66,12,17,15,25,12/19/2022 6:44
1,405,0,66,11,15,14,25,12/19/2022 6:46
1,401,0,66,12,17,15,26,12/19/2022 6:48
1,408,0,66,12,17,15,26,12/19/2022 6:50
1,402,0,66,12,17,15,26,12/19/2022 6:52
1,397,0,66,12,17,15,25,12/19/2022 6:54
1,402,0,66,12,17,15,26,12/19/2022 6:56
1,405,0,66,11,15,14,26,12/19/2022 6:58
1,405,0,66,12,17,15,26,12/19/2022 7:02
1,403,0,66,12,17,15,26,12/19/2022 7:04
1,402,0,66,12,17,15,25,12/19/2022 7:06
1,406,0,66,13,18,16,25,12/19/2022 7:08
1,416,0,66,13,18,16,25,12/19/2022 7:10
1,393,0,66,10,14,13,25,12/19/2022 7:12
1,398,0,66,12,17,15,26,12/19/2022 7:14
1,393,0,66,12,17,15,26,12/19/2022 7:16
1,345,0,66,12,17,15,26,12/19/2022 7:18
1,405,0,66,11,15,14,25,12/19/2022 7:20
1,521,0,66,13,18,16,26,12/19/2022 7:22
1,406,0,66,11,15,14,26,12/19/2022 7:24
1,393,0,66,12,17,15,26,12/19/2022 7:26
1,394,0,66,12,17,15,25,12/19/2022 7:28
1,404,0,66,12,17,15,26,12/19/2022 7:30
1,394,0,66,11,15,14,25,12/19/2022 7:32
1,417,0,66,10,14,13,26,12/19/2022 7:34
1,427,0,66,11,15,14,25,12/19/2022 7:36
1,418,0,66,12,17,15,26,12/19/2022 7:38
1,411,0,66,13,18,16,25,12/19/2022 7:40
1,411,0,66,11,15,14,26,12/19/2022 7:42
1,413,0,66,13,19,17,26,12/19/2022 7:44
1,419,0,66,11,15,14,25,12/19/2022 7:46
1,405,0,66,12,17,15,25,12/19/2022 7:48
1,388,0,66,11,15,14,26,12/19/2022 7:50
1,438,0,66,12,17,15,25,12/19/2022 7:52
1,401,0,66,13,18,16,25,12/19/2022 7:54
1,413,0,66,13,18,16,25,12/19/2022 7:56
1,405,0,66,12,17,15,25,12/19/2022 7:58
1,405,0,66,11,15,14,25,12/19/2022 8:02
1,424,0,66,12,17,15,25,12/19/2022 8:04
1,326,0,66,13,19,17,25,12/19/2022 8:06
1,291,0,66,12,17,15,25,12/19/2022 8:08
1,406,0,66,12,17,15,26,12/19/2022 8:10
1,413,0,66,12,17,15,25,12/19/2022 8:12
1,408,0,66,12,17,15,25,12/19/2022 8:14
1,408,0,66,11,15,14,25,12/19/2022 8:16
1,330,0,66,11,15,14,25,12/19/2022 8:18
1,398,0,66,13,18,16,25,12/19/2022 8:20
1,448,0,66,11,15,14,25,12/19/2022 8:22
1,421,0,66,12,17,15,26,12/19/2022 8:24
1,417,0,66,13,19,17,25,12/19/2022 8:26
1,357,0,66,12,17,15,25,12/19/2022 8:28
1,457,0,66,13,19,17,26,12/19/2022 8:30
1,421,0,66,14,20,18,26,12/19/2022 8:32
1,557,0,66,13,18,16,25,12/19/2022 8:34
1,361,0,65,13,19,17,25,12/19/2022 8:36
1,441,0,65,16,22,20,26,12/19/2022 8:38
1,411,0,65,14,20,18,26,12/19/2022 8:40
1,412,0,65,17,24,22,26,12/19/2022 8:42
1,403,0,65,13,19,17,26,12/19/2022 8:44
1,436,0,65,16,22,20,26,12/19/2022 8:46
1,408,0,64,14,20,18,26,12/19/2022 8:48
1,443,0,64,17,23,21,26,12/19/2022 8:50
1,440,0,64,17,25,22,26,12/19/2022 8:52
1,414,0,64,14,20,18,26,12/19/2022 8:54
1,437,0,64,18,27,23,26,12/19/2022 8:56
1,412,0,64,17,24,22,26,12/19/2022 8:58
1,382,0,64,17,24,22,26,12/19/2022 9:02
1,332,0,64,17,24,22,26,12/19/2022 9:04
1,485,0,64,16,22,20,26,12/19/2022 9:06
1,424,0,64,20,28,25,26,12/19/2022 9:08
1,571,0,63,18,26,23,26,12/19/2022 9:10
1,513,0,63,19,27,24,26,12/19/2022 9:12
1,467,0,63,19,27,24,26,12/19/2022 9:14
1,501,0,62,20,28,25,26,12/19/2022 9:16
1,559,0,62,19,27,24,26,12/19/2022 9:18
1,453,0,61,21,29,26,26,12/19/2022 9:20
1,593,0,61,20,28,25,26,12/19/2022 9:22
1,487,0,61,16,22,20,26,12/19/2022 9:24
1,513,0,61,18,26,23,25,12/19/2022 9:26
1,489,0,62,20,28,25,25,12/19/2022 9:28
1,644,0,62,18,26,23,26,12/19/2022 9:30
1,556,0,62,19,27,24,25,12/19/2022 9:32
1,581,0,62,20,28,25,25,12/19/2022 9:34
1,598,0,62,17,24,22,26,12/19/2022 9:36
1,577,0,62,18,26,23,26,12/19/2022 9:38
1,526,0,62,17,24,22,26,12/19/2022 9:40
1,524,0,61,17,24,22,26,12/19/2022 9:42
1,553,0,61,17,24,22,26,12/19/2022 9:44
1,537,0,61,19,27,24,25,12/19/2022 9:46
1,501,0,62,18,26,23,25,12/19/2022 9:48
1,638,0,62,18,26,23,25,12/19/2022 9:50
1,613,0,62,17,24,22,25,12/19/2022 9:52
1,554,0,62,17,23,21,25,12/19/2022 9:54
1,521,0,62,18,26,23,25,12/19/2022 9:56
1,704,0,61,17,25,22,25,12/19/2022 9:58
1,610,0,61,17,23,21,26,12/19/2022 10:02
1,676,0,60,17,23,21,26,12/19/2022 10:04
1,686,0,60,17,23,21,26,12/19/2022 10:06
1,728,0,61,17,23,21,26,12/19/2022 10:08
1,689,0,61,17,23,21,26,12/19/2022 10:10
1,908,0,61,17,23,21,26,12/19/2022 10:12
1,637,0,61,16,23,20,26,12/19/2022 10:14
1,803,0,60,18,26,23,26,12/19/2022 10:16
1,789,0,60,16,22,20,26,12/19/2022 10:18
1,789,0,60,17,24,22,26,12/19/2022 10:20
1,757,0,60,16,22,20,26,12/19/2022 10:22
1,768,0,60,14,20,18,26,12/19/2022 10:24
1,719,0,60,16,22,20,26,12/19/2022 10:26
1,729,0,60,17,23,21,26,12/19/2022 10:28
1,870,0,60,15,21,19,26,12/19/2022 10:30
1,801,0,61,15,21,19,26,12/19/2022 10:32
1,703,0,61,17,23,21,26,12/19/2022 10:34
1,764,0,61,16,22,20,26,12/19/2022 10:36
1,795,0,61,17,23,21,26,12/19/2022 10:38
1,793,0,61,16,22,20,26,12/19/2022 10:40
1,870,0,61,15,21,19,26,12/19/2022 10:42
1,668,0,61,14,20,18,26,12/19/2022 10:44
1,948,0,61,17,23,21,26,12/19/2022 10:46
1,766,0,61,15,21,19,26,12/19/2022 10:48
1,816,0,61,13,19,17,26,12/19/2022 10:50
1,766,0,61,15,21,19,26,12/19/2022 10:52
1,834,0,61,16,22,20,26,12/19/2022 10:54
1,756,0,61,14,20,18,26,12/19/2022 10:56
1,687,0,61,16,22,20,26,12/19/2022 10:58
1,860,0,61,17,23,21,25,12/19/2022 11:02
1,816,0,61,15,21,19,25,12/19/2022 11:04
1,787,0,61,14,20,18,25,12/19/2022 11:06
1,798,0,61,13,19,17,25,12/19/2022 11:08
1,721,0,61,16,22,20,25,12/19/2022 11:10
1,878,0,61,13,19,17,25,12/19/2022 11:12
1,841,0,61,15,21,19,25,12/19/2022 11:14
1,796,0,61,14,20,18,25,12/19/2022 11:16
1,836,0,60,15,21,19,26,12/19/2022 11:18
1,824,0,60,13,18,16,26,12/19/2022 11:20
1,809,0,59,16,22,20,26,12/19/2022 11:22
1,800,0,59,17,23,21,26,12/19/2022 11:24
1,808,0,59,15,21,19,26,12/19/2022 11:26
1,794,0,59,14,20,18,26,12/19/2022 11:28
1,844,0,59,13,19,17,26,12/19/2022 11:30
1,615,0,59,15,21,19,26,12/19/2022 11:32
1,929,0,59,14,20,18,26,12/19/2022 11:34
1,786,0,59,13,18,16,26,12/19/2022 11:36
1,778,0,59,14,20,18,26,12/19/2022 11:38
1,728,0,59,15,21,19,26,12/19/2022 11:40
1,847,0,60,15,21,19,26,12/19/2022 11:42
1,848,0,59,14,20,18,26,12/19/2022 11:44
1,874,0,60,14,20,18,25,12/19/2022 11:46
1,728,0,59,14,20,18,26,12/19/2022 11:48
1,760,0,59,14,20,18,26,12/19/2022 11:50
1,842,0,59,15,21,19,25,12/19/2022 11:52
1,743,0,60,13,19,17,25,12/19/2022 11:54
1,756,0,60,14,20,18,25,12/19/2022 11:56
1,774,0,60,13,19,17,25,12/19/2022 11:58
1,802,0,60,14,20,18,25,12/19/2022 12:02
1,770,0,60,14,20,18,26,12/19/2022 12:04
1,791,0,59,13,19,17,26,12/19/2022 12:06
1,777,0,59,15,21,19,26,12/19/2022 12:08
1,761,0,59,12,17,15,26,12/19/2022 12:10
1,812,0,59,16,22,20,26,12/19/2022 12:12
1,812,0,59,15,21,19,26,12/19/2022 12:14
1,784,0,59,14,20,18,26,12/19/2022 12:16
1,775,0,59,14,20,18,26,12/19/2022 12:18
1,772,0,59,14,20,18,26,12/19/2022 12:20
1,731,0,60,13,19,17,26,12/19/2022 12:22
1,795,0,60,13,19,17,26,12/19/2022 12:24
1,785,0,60,14,20,18,26,12/19/2022 12:26
1,813,0,59,16,22,20,26,12/19/2022 12:28
1,830,0,59,15,21,19,26,12/19/2022 12:30
1,757,0,59,13,19,17,26,12/19/2022 12:32
1,801,0,59,16,22,20,25,12/19/2022 12:34
1,736,0,59,16,22,20,25,12/19/2022 12:36
1,876,0,59,16,22,20,26,12/19/2022 12:38
1,768,0,59,13,19,17,26,12/19/2022 12:40
1,794,0,59,16,22,20,25,12/19/2022 12:42
1,760,0,60,15,21,19,25,12/19/2022 12:44
1,913,0,60,13,18,16,25,12/19/2022 12:46
1,629,0,60,15,21,19,25,12/19/2022 12:48
1,788,0,60,14,20,18,25,12/19/2022 12:50
1,985,0,60,16,22,20,25,12/19/2022 12:52
1,777,0,60,15,21,19,25,12/19/2022 13:02
1,809,0,60,15,21,19,25,12/19/2022 13:04
1,824,0,60,14,20,18,25,12/19/2022 14:02
1,797,0,60,14,20,18,26,12/19/2022 14:04
1,760,0,60,15,21,19,26,12/19/2022 14:06
1,924,0,60,15,21,19,26,12/19/2022 14:08
1,819,0,59,14,20,18,26,12/19/2022 14:10
1,826,0,59,14,20,18,26,12/19/2022 14:12
1,829,0,59,15,21,19,26,12/19/2022 14:14
1,794,0,59,16,22,20,26,12/19/2022 14:16
1,801,0,59,14,20,18,26,12/19/2022 14:18
1,863,0,59,13,19,17,26,12/19/2022 14:20
1,833,0,59,15,21,19,26,12/19/2022 14:22
1,832,0,59,14,20,18,26,12/19/2022 14:24
1,764,0,60,14,20,18,26,12/19/2022 14:26
1,758,0,60,13,18,16,26,12/19/2022 14:28
1,831,0,60,14,20,18,25,12/19/2022 14:30
1,781,0,60,14,20,18,26,12/19/2022 14:32
1,830,0,60,13,19,17,25,12/19/2022 14:34
1,806,0,60,13,18,16,25,12/19/2022 14:36
1,858,0,60,15,21,19,25,12/19/2022 14:38
1,838,0,60,13,18,16,25,12/19/2022 14:40
1,803,0,60,14,20,18,25,12/19/2022 14:42
1,858,0,60,13,19,17,25,12/19/2022 14:44
1,740,0,60,13,18,16,25,12/19/2022 14:46
1,856,0,61,13,19,17,25,12/19/2022 14:48
1,634,0,61,13,18,16,25,12/19/2022 14:50
1,886,0,61,13,18,16,25,12/19/2022 14:52
1,821,0,61,13,18,16,25,12/19/2022 14:54
1,736,0,60,14,20,18,25,12/19/2022 14:56
1,799,0,60,14,20,18,25,12/19/2022 14:58
1,800,0,60,15,21,19,25,12/19/2022 15:02
1,791,0,60,14,20,18,25,12/19/2022 15:04
1,788,0,60,13,19,17,25,12/19/2022 15:06
1,739,0,60,13,18,16,25,12/19/2022 15:08
1,872,0,60,13,18,16,25,12/19/2022 15:10
1,817,0,60,14,20,18,25,12/19/2022 15:12
1,748,0,60,14,20,18,25,12/19/2022 15:14
1,804,0,61,15,21,19,25,12/19/2022 15:16
1,830,0,61,15,21,19,25,12/19/2022 15:18
1,838,0,61,15,21,19,25,12/19/2022 15:20
1,657,0,61,13,19,17,25,12/19/2022 15:22
1,864,0,61,13,19,17,25,12/19/2022 15:24
1,838,0,61,16,22,20,25,12/19/2022 15:26
1,679,0,61,13,19,17,25,12/19/2022 15:28
1,841,0,61,16,22,20,25,12/19/2022 15:30
1,811,0,61,13,18,16,25,12/19/2022 15:32
1,833,0,60,13,19,17,25,12/19/2022 15:34
1,778,0,60,13,18,16,26,12/19/2022 15:36
1,818,0,60,13,19,17,26,12/19/2022 15:38
1,890,0,60,13,18,16,26,12/19/2022 15:40
1,891,0,60,14,20,18,25,12/19/2022 15:42
1,818,0,61,13,18,16,25,12/19/2022 15:44
1,1028,0,61,15,21,19,25,12/19/2022 15:46
1,819,0,61,10,14,13,25,12/19/2022 15:48
1,835,0,60,14,20,18,26,12/19/2022 15:50
1,848,0,60,13,18,16,26,12/19/2022 15:52
1,1091,0,60,15,21,19,26,12/19/2022 15:54
1,871,0,60,15,21,19,26,12/19/2022 15:56
1,884,0,60,14,20,18,26,12/19/2022 15:58
1,890,0,60,14,20,18,26,12/19/2022 16:00
1,850,0,60,12,17,15,26,12/19/2022 16:02
1,1008,0,60,13,18,16,26,12/19/2022 16:04
1,860,0,59,13,19,17,26,12/19/2022 16:06
1,873,0,59,14,20,18,26,12/19/2022 16:08
1,845,0,60,14,20,18,26,12/19/2022 16:10
1,854,0,60,14,20,18,25,12/19/2022 16:12
1,849,0,60,14,20,18,26,12/19/2022 16:14
1,1072,0,60,14,20,18,25,12/19/2022 16:16
1,881,0,61,14,20,18,25,12/19/2022 16:18
1,718,0,60,14,20,18,25,12/19/2022 16:20
1,855,0,60,15,21,19,25,12/19/2022 16:22
1,857,0,61,15,21,19,25,12/19/2022 16:24
1,899,0,61,13,19,17,25,12/19/2022 16:26
1,772,0,61,14,20,18,25,12/19/2022 16:28
1,834,0,61,13,19,17,25,12/19/2022 16:30
1,854,0,61,15,21,19,25,12/19/2022 16:32
1,816,0,60,15,21,19,25,12/19/2022 16:34
1,837,0,61,16,22,20,25,12/19/2022 16:36
1,834,0,60,13,19,17,25,12/19/2022 16:38
1,845,0,60,17,23,21,25,12/19/2022 16:40
1,819,0,60,16,22,20,25,12/19/2022 16:42
1,850,0,60,17,24,22,25,12/19/2022 16:44
1,832,0,60,15,21,19,25,12/19/2022 16:46
1,856,0,61,14,20,18,25,12/19/2022 16:48
1,819,0,61,14,20,18,25,12/19/2022 16:50
1,850,0,61,13,18,16,25,12/19/2022 16:52
1,853,0,62,13,19,17,25,12/19/2022 16:54
1,734,0,61,14,20,18,25,12/19/2022 17:02
1,728,0,61,17,23,21,25,12/19/2022 17:04
1,891,0,61,17,23,21,25,12/19/2022 17:06
1,794,0,61,17,23,21,25,12/19/2022 17:08
1,788,0,61,17,24,22,25,12/19/2022 17:10
1,787,0,61,16,22,20,25,12/19/2022 17:12
1,761,0,61,17,23,21,25,12/19/2022 17:14
1,777,0,61,16,22,20,25,12/19/2022 17:16
1,782,0,61,18,26,23,25,12/19/2022 17:18
1,739,0,60,18,26,23,25,12/19/2022 17:20
1,739,0,61,16,22,20,25,12/19/2022 17:22
1,716,0,61,17,23,21,25,12/19/2022 17:24
1,755,0,61,17,23,21,25,12/19/2022 17:26
1,711,0,61,15,21,19,25,12/19/2022 17:28
1,732,0,61,16,22,20,25,12/19/2022 17:30
1,776,0,61,18,26,23,25,12/19/2022 17:32
1,710,0,61,17,23,21,26,12/19/2022 17:34
1,868,0,60,18,26,23,26,12/19/2022 17:36
1,720,0,60,17,24,22,26,12/19/2022 17:38
1,770,0,60,17,23,21,26,12/19/2022 17:40
1,746,0,60,17,24,22,26,12/19/2022 17:42
1,716,0,60,16,22,20,25,12/19/2022 17:44
1,751,0,60,15,21,19,25,12/19/2022 17:46
1,750,0,60,14,20,18,25,12/19/2022 17:48
1,776,0,60,13,19,17,25,12/19/2022 17:50
1,738,0,60,16,22,20,26,12/19/2022 17:52
1,729,0,60,15,21,19,25,12/19/2022 17:54
1,740,0,61,14,20,18,25,12/19/2022 17:56
1,756,0,61,17,23,21,25,12/19/2022 17:58
1,801,0,60,16,22,20,26,12/19/2022 18:02
1,854,0,60,17,23,21,26,12/19/2022 18:04
1,753,0,60,17,24,22,26,12/19/2022 18:06
1,762,0,60,14,20,18,26,12/19/2022 18:08
1,742,0,60,15,21,19,25,12/19/2022 18:10
1,734,0,60,14,20,18,25,12/19/2022 18:12
1,717,0,61,16,22,20,25,12/19/2022 18:14
1,729,0,61,17,23,21,30,12/19/2022 18:16
1,722,0,61,16,22,20,30,12/19/2022 18:18
1,675,0,61,17,24,22,30,12/19/2022 18:20
1,668,0,61,15,21,19,30,12/19/2022 18:22
1,639,0,62,16,22,20,30,12/19/2022 18:24
1,707,0,62,16,22,20,30,12/19/2022 18:26
1,728,0,62,14,20,18,30,12/19/2022 18:28
1,753,0,61,14,20,18,30,12/19/2022 18:30
1,769,0,61,17,23,21,26,12/19/2022 18:32
1,704,0,61,17,23,21,26,12/19/2022 18:34
1,684,0,61,17,23,21,26,12/19/2022 18:36
1,688,0,61,16,22,20,26,12/19/2022 18:38
1,660,0,61,17,23,21,30,12/19/2022 18:40
1,807,0,61,17,24,22,26,12/19/2022 18:42
1,550,0,61,17,23,21,26,12/19/2022 18:44
1,692,0,60,17,23,21,26,12/19/2022 18:46
1,696,0,60,15,21,19,26,12/19/2022 18:48
