data.co,data.co2,data.formaldehyde,data.humidity,data.pm1,data.pm10,data.pm25,data.temperature,timestamp
1,641,0,63,14,20,18,33,30-12-2022 00:04
1,640,0,63,14,20,18,33,30-12-2022 00:04
1,639,0,63,13,19,17,33,30-12-2022 00:08
1,637,0,63,14,20,18,33,30-12-2022 00:08
1,637,0,63,13,19,17,33,30-12-2022 00:12
1,635,0,63,13,19,17,33,30-12-2022 00:12
1,638,0,63,13,19,17,32,30-12-2022 00:16
1,638,0,63,13,18,16,33,30-12-2022 00:16
1,634,0,63,13,19,17,33,30-12-2022 00:18
1,635,0,63,13,19,17,33,30-12-2022 00:22
1,634,0,63,13,18,16,33,30-12-2022 00:22
1,626,0,63,13,18,16,33,30-12-2022 00:26
1,626,0,63,13,19,17,33,30-12-2022 00:26
1,631,0,63,13,18,16,33,30-12-2022 00:30
1,627,0,63,13,18,16,33,30-12-2022 00:30
1,624,0,63,12,17,15,33,30-12-2022 00:34
1,624,0,62,14,20,18,33,30-12-2022 00:34
1,627,0,63,13,19,17,33,30-12-2022 00:36
1,625,0,63,13,19,17,33,30-12-2022 00:40
1,625,0,63,13,18,16,33,30-12-2022 00:40
1,621,0,63,14,20,18,33,30-12-2022 00:44
1,622,0,63,13,19,17,33,30-12-2022 00:44
1,621,0,63,13,19,17,33,30-12-2022 00:46
1,620,0,63,13,19,17,33,30-12-2022 00:48
1,617,0,63,13,19,17,33,30-12-2022 00:50
1,616,0,63,13,19,17,33,30-12-2022 00:52
1,614,0,63,13,18,16,33,30-12-2022 00:54
1,613,0,63,12,17,15,33,30-12-2022 00:58
1,614,0,63,13,19,17,33,30-12-2022 00:58
1,615,0,63,14,20,18,33,30-12-2022 01:04
1,611,0,63,13,18,16,33,30-12-2022 01:04
1,609,0,63,13,19,17,33,30-12-2022 01:08
1,608,0,63,13,19,17,33,30-12-2022 01:08
1,606,0,63,12,17,15,33,30-12-2022 01:12
1,608,0,63,13,19,17,33,30-12-2022 01:12
1,601,0,63,13,18,16,33,30-12-2022 01:14
1,603,0,63,13,18,16,33,30-12-2022 01:16
1,603,0,63,13,18,16,33,30-12-2022 01:18
1,603,0,63,13,19,17,33,30-12-2022 01:20
1,600,0,63,12,17,15,33,30-12-2022 01:24
1,601,0,63,13,18,16,33,30-12-2022 01:24
1,599,0,63,13,18,16,33,30-12-2022 01:26
1,599,0,63,13,19,17,33,30-12-2022 01:30
1,597,0,63,13,18,16,33,30-12-2022 01:30
1,595,0,63,13,19,17,33,30-12-2022 01:34
1,599,0,63,13,19,17,33,30-12-2022 01:34
1,597,0,63,13,19,17,33,30-12-2022 01:38
1,598,0,63,13,18,16,33,30-12-2022 01:38
1,594,0,63,13,18,16,33,30-12-2022 01:42
1,594,0,63,13,18,16,33,30-12-2022 01:42
1,591,0,63,13,19,17,33,30-12-2022 01:46
1,593,0,63,13,19,17,33,30-12-2022 01:46
1,590,0,63,13,18,16,33,30-12-2022 01:50
1,592,0,63,13,18,16,33,30-12-2022 01:50
1,593,0,63,13,18,16,33,30-12-2022 01:52
1,587,0,63,13,19,17,33,30-12-2022 01:56
1,587,0,63,12,17,15,33,30-12-2022 01:56
1,588,0,63,12,17,15,33,30-12-2022 01:58
1,585,0,63,12,17,15,33,30-12-2022 02:02
1,585,0,63,13,19,17,33,30-12-2022 02:06
1,584,0,63,13,19,17,33,30-12-2022 02:06
1,582,0,63,13,18,16,33,30-12-2022 02:10
1,586,0,63,13,18,16,33,30-12-2022 02:10
1,586,0,63,13,18,16,33,30-12-2022 02:12
1,584,0,63,13,18,16,33,30-12-2022 02:14
1,583,0,63,13,18,16,33,30-12-2022 02:16
1,583,0,63,12,17,15,33,30-12-2022 02:20
1,582,0,63,13,18,16,33,30-12-2022 02:20
1,581,0,63,13,18,16,33,30-12-2022 02:22
1,579,0,63,12,17,15,33,30-12-2022 02:24
1,581,0,63,11,15,14,33,30-12-2022 02:28
